category,title,coverageDynasty,displayMaterials,displayMeasurements,subject,description,formatImage,creatorAuthor,sourceLocation
绘画,松下纳凉图 轴,明,纸,95*30cm,山水,,http://file.hbww.org/Thumb300/文章管理缩略图/s_201603010813099NdGK7.jpg,丁云鹏,湖北省博物馆
绘画,丁云鹏冯媛挡熊图卷,明,纸,,人物,本幅款署：“万历癸未春丁云鹏写。”下钤“南羽”朱方印。引首有吴元满篆书“冯媛当熊”四字，尾纸有吴时尧、施于民题跋。按题可知，此图作于明万历十一年（1583年）。此图以翠竹、梧桐、椿树、湖石为背景，表现了冯媛挡熊的故事场景。据《汉书?外戚传下?冯昭仪》记载，汉建昭中，元帝率左右随从，于后宫观斗兽。突然有熊逸出圈，攀栏欲上殿，冯婕妤冲上前挡熊而立，保护元帝免遭伤害。后世多以冯媛挡熊的典故赞扬女性临危不惧﹑奋不顾身的精神。,https://img.dpm.org.cn/Uploads/Picture/2017/04/11/s58ec84c15484c.jpg,丁云鹏,故宫博物院
绘画,丁云鹏春游图扇页,明,纸,纵18.5cm，横56.2cm。,人物,扇页有自题：“丙戌秋日写。丁云鹏。”钤“南”、“羽”朱文联珠印。“丙戌”是明万历十四年（1586年），丁云鹏时年39岁。图绘桃花盛开时节女子们赏花游春的小景。仕女以工细的笔法勾描，表现出她们轻盈的体态。山石、树木以淡雅的青绿色晕染，其温润的色调与仕女端庄文雅的气质相契合，散发着天真的趣味，渲染出春游之愉悦的氛围。画风反映了作者较早时期的面貌。,https://img.dpm.org.cn/Uploads/Picture/dc/59397[1024].jpg,丁云鹏,故宫博物院
绘画,丁云鹏竹石云泉图扇页,明,金笺,纵17.8cm，横55.9cm。,山水,扇页有自题：“乙未夏日为环海先生写。云鹏。”钤“南”、“羽”朱文联珠印。“乙未”是明万历二十三年（1595年），丁云鹏时年49岁。此图最醒目的是绘有大面积的竹林，竹竿挺拔俏立，竹叶苍翠欲滴，它们整齐地沿河岸分列，构筑出一个典雅清幽的自然环境。图中的竹以工细的笔法，一丝不苟地精心刻画，竹节笔笔分明，竹叶施墨有近浓远淡之分，它们于虚实间扩展了画面的空间层次，也显现出作者工而不板的竹画功底。此幅是作者送给友人环海先生的画作，在此巧妙地使用有着“四君子”之一美誉的竹子为题材，以此赞赏友人具有象竹一样高风亮节、虚怀若谷的品格。,https://img.dpm.org.cn/Uploads/Picture/dc/60328[1024].jpg,丁云鹏　,故宫博物院
绘画,丁姓画师五同会图卷,明,绢,纵41cm，横181cm。,人物,本幅无款识。画卷引首有蔡之定篆书“五同会图”，钤“蔡之定印”、“柽毂山人”印二方。原题跋已不存。现卷后有清嘉庆十一年（1806年）翰林院编修颜莼抄录的吴宽《五同会序》和《五同会诗》、《新岁与玉汝、世贤、禹畴、济之为五同会，玉汝以诗邀饮，因次韵，时玉汝初治楚狱还》二诗，王鏊《和原博韵题五同会后》、《次韵玉汝五同会》二诗，陈仁锡（陈璚族孙）跋，陈鹤（陈璚十一世孙）赞五首及颜莼本人跋，其后又有嘉庆十二年（1807年）翁方纲跋、秦瀛跋、翁方纲题诗、法式善跋，嘉庆十三年（1808年）初彭龄题诗，嘉庆十五年（1810年）韩是升题跋，嘉庆十四年（1809年）仲冬蔡之定题跋以及李锡题诗、姚鼐题诗、倪伯敬题诗等。据抄录的陈璚族孙陈仁锡跋，此图原有5本，“五人各摹图藏诸家，岁时展玩，以消聚散合离之感”，后陈璚家藏本毁于火。据颜莼嘉庆十一年跋，时陈璚十一世孙陈钟麟又获此本，转归其族兄陈鹤，当时只剩画卷，“图无款识”，乃转录上述吴宽序、诗及王鏊诗。又据翁方纲题诗及注，清初朱彝尊曾在吴洪五世孙家见过吴洪家藏本；又据韩是升跋，约在乾隆十五年（1750年），其父也曾观看过吴洪家藏本。流传至今的除此本外，上海博物馆还有一本，应是吴洪家藏本或另一本。此图描绘明中期弘治末年，5位苏州籍高官在北京的雅集活动。根据卷末颜莼抄录的吴宽于明弘治十六年（1503年）所写的《五同会序》（又据吴宽《家藏集》卷四十四，颜莼录为“弘治十八年”实误），所谓“五同”，即“同时也，同乡也，同朝也，而又同志也，同道也，因名之曰五同会，亦曰同会者五人耳”。“吴人出而仕者率盛于天下，今之显于时者仅得五人”。画中人物自卷首始依次为礼部尚书吴宽、礼部侍郎李杰、南京都察院左佥都御史陈璚、吏部侍郎王鏊及太仆寺卿吴洪。5人皆为苏州人，同在朝廷为官，志同道合，“去岁，五人者公暇辄具酒馔为会”。与泛泛的雅集不同，他们“坐以齿定，谈以音谐，以正道相责望，以疑义相辨析。兴之所至，即形于咏歌；事之所感，每发于议论，庶几古所称莫逆者也”。一开始五人还能凑在一起经常聚会，但不久陈璚升任南京都察院左副都御史，王鏊因故离京，聚会者只剩下3人，吴宽因而感叹自己年事已高，又将引退，虽然可能会有新人到来而使聚会复盛，只怕等不到那个时候了。从吴宽序及诗看，画卷记录的应是5人的最后一次聚会，以资留念。画面中，5人身着官服，神态自然平和，具有儒雅的风韵。场面气氛融洽，使人感受到相互间的契合。人物分为两组：右边，吴宽、李杰坐于罗汉床上，以年纪最长的吴宽为主。吴宽合手而坐，弓背，鬓发斑白；李杰身略右倾，左手扶膝，右手扶床，神情关切，似在问候。左边，闲步交谈的3人中以陈璚为主。陈璚行于前，面色白皙，秀雅端庄；王鏊面微方，神采奕奕，合手立于中，认真恭听，态度谦和；吴洪面目慈祥，左手握带，右手持书册，欣然似有所感。画面以庭园为背景，刻画精工。仙鹤、麋鹿、松树寓示吉祥延年，琴棋书册、芭蕉竹石则烘托出文人雅致。背景后段留有相当一部分画面描绘具有江南情调的板桥和宽阔的江面，似有意安排出空间，营造出江南景色，以慰乡情。在画法上，5人肖像或正面，或微侧，相互呼应，均先以淡墨色勾勒形态，用笔精微。傅色变化细腻，色泽明润，先以赭石和朱膘渲染，白皙者再施粉，凹凸变化自然。人物眼、鼻、唇的刻画用笔极为精细，表现出不同的神采和性格。背景中的山石树木、童子、器具等更可见笔致的精到，体现出画家高深细腻的写实技巧和绘画风格。关于绘者，从吴宽序中所说“禹畴（吴洪）以越人丁君彩妙绘事，俾写为图，饰为长卷”来看，画家姓丁，来自浙江，可能是活动在京城的一位民间画师，与吴洪有私交，惜其生平未见画史记载。《五同会图》不仅是明代群体肖像画中的一件佳作，也是了解明中期高官雅集与交游的形象资料，为认识当时的政坛情况、文化风俗及苏州籍官员与苏州文化的关系提供了一个独特的窗口。中国书画手卷的专业术语。指在本幅前面所留的空白纸方，一般用以题写书画名称或高度概括的品评，多为四字，与画心之间有隔水分开。因开卷时首先见其，故称“引首”，最早在明初出现。吴宽（1435—1504年），字原博，号匏庵，长洲（今江苏苏州）人。明成化八年（1472年）会试、廷试均得第一。授翰林院修撰。弘治八年（1495年）擢吏部右侍郎。后任吏部左侍郎，改掌詹事府，入内阁，专任典诰。弘治十六年（1503年）进礼部尚书，十七年七月卒于官，谥文定，赠太子太保。行履高洁而自守以正。工诗文，有《匏庵家藏集》。善书法，规模苏轼，自成一格，为明代著名书法家。王鏊（1450—1524年），字济之，号守溪，学者称“震泽先生”，吴县（今江苏苏州）人。明成化十年（1474年）乡试、次年会试俱第一，廷试第三，授翰林院编修。弘治初，选侍讲学士，充讲官。后转少詹事，擢吏部右侍郎。正德元年（1506年）四月起为吏部左侍郎，与诸大臣请诛大太监刘瑾。刘瑾掌权，欲焦芳入阁，廷议独推鏊。刘瑾迫于公论，命鏊以本官兼学士与芳同入内阁。时中外大权皆归瑾，鏊不能救，力求去，四年，许之。嘉靖三年（1524年）卒。赠太傅，谥文恪。其人博学有识鉴，文章议论畅明，为人、德望均为时人敬服，门下学生众多，唐寅也是其中之一。著有《姑苏志》、《震泽集》等，《明史》一百八十一有传。陈仁锡（1581—1636年），字明卿，号芝台，明苏州府长洲人。曾从武进钱一本学《易》，得其旨要。天启二年（1622年）进士。授编修，典诰敕。迁南京国子祭奇偶酒。讲求经济，有志天下事，性好学，喜著书。有《四书备考》、重订古周礼》等。卒谥“文庄”。陈璚（1440－1506年），字成斋，改字玉汝，长洲人。明成化十四年（1478年）进士。改翰林庶吉士，授兵科给事中，累迁至大理寺左少卿，复为南京都察院左佥都御史，进南京都察院左副都御史，兼督操江诸军。以病乞休。正德元年（1506年）卒。为官勤励，不失官誉。其孙陈淳为著名画家。翁方纲（1733—1818年），字正三，号覃溪，晚号苏斋，顺天大兴（今属北京市）人。清乾隆十七年（1752年）进士，官至内阁学士。博学，富藏书，工诗文，长于考证金石。书法初学颜真卿，继学欧阳询，旁涉汉隶，自成一格，与刘墉、成亲王永瑆、铁保并称“乾隆四家”。著有《两汉金石记》、《粤东金石略》等。姚鼐（1731—1815年），字姬传，一字梦古，号惜抱居士，安徽桐城人。清乾隆癸未进士，散馆主亊，迁礼部郎中告归，主讲钟山书院等。晚而工书。有《惜抱轩全集》、《水经注》、《三传补注》等著作。朱彝尊（1629—1709年），字锡鬯，号竹垞，别号金风亭长、小长芦钓鱼师等，秀水（今浙江嘉兴）人。清康熙十八年（1679年）以鸿博官检讨，后入直内廷。工诗，与王士祯齐名。精于金石考据之学。书工古隶，笔意秀劲，韵致超逸。清包世臣在《艺舟双楫》中将他的隶书定为逸品下。亦工画。因学识渊博，深得康熙皇帝赏识，曾参与编纂《明史》。为完成《日下旧闻》一书，他不仅摘录古书，且逐一实地考察对照：“雄关绝障，策屐登临；名刹高台，按图指索。认籀文于甫草，最详同马攻车；剔碑版于荒苔，尽访吉金贞石。”历尽辛苦，终成此书。著有《曝书亭集》等书行世。吴洪（1445－1522年），字禹畴，吴江人。明成化十一年（1475年）进士。历官南京刑部主事、郎中，贵州、广东按察副使，福建按察使，太仆寺卿，工部侍郎，拜南京刑部尚书。矫矫有风节。忤刘瑾，勒致仕。嘉靖元年（1522年）卒，赠太子太保。指文人雅士吟诗作画、议论学问以及休闲娱乐的集会。一为我国最早的历史文献汇编，《尚书》即《书经》，内容为商、西周两代统治者的讲话记录及春秋、战国时期根据远古材料加工编成的虞、夏史事。明代以六部尚书分掌政务，六部尚书等于国务大臣，清代沿袭明制。明成化二年（1466年）进士。初任翰林院庶吉士，历官侍读学士、南京国子祭酒、太常少卿兼侍读学士等，迁南京礼部右侍郎，入为礼部左侍郎。正德初，进南京吏部尚书，改礼部尚书。以事忤刘瑾，致仕归。正德十二年（1517年）卒。赠太子太保，谥文安。梵文Arhat的音译阿罗汉之简称。又译为“应真”，或又称“尊者”，是释迦牟尼的弟子，小乘教修行的最高果位。罗汉受佛之嘱，常住世间，守护佛法，“得一切世间诸天人供养”。罗汉像最初是依照佛教经典所造，侍立在释迦两侧的比丘（和尚）像，即阿难、迦叶。后又创造出十六、十八和五百罗汉像，有木雕、泥塑、石刻，以及铜和铁的金属铸造，也见于绘画和织绣。南朝梁天监时画家张僧繇曾画十六罗汉，见《宣和画谱》。自唐初玄奘译出《法住记》，十六和十八罗汉像逐渐盛行。传唐代卢楞伽画有十六应真，五代贯休和张玄都曾画十八罗汉像。杭州烟霞洞五代时有十六罗汉像，经宋人添加了神僧和布袋和尚（俗称大肚弥勒）。寺庙中也盛行十八罗汉像的供奉。中国画技法之一，属辅助性用笔，为突出形象之用。“渲”是在皴擦处略敷水墨或色彩，“染”是用大面积的湿笔在形象的外围着色或着墨，烘托画面形象。人物画的一种，专指描绘人物相貌形神的绘画，可分为头像、半身像、全身像、群像等。中国的肖像画传统称谓有“传神”或“写真”，它是以现实生活中或历史上客观存在的人物为描绘对象，通过以形写神、迁想妙得等创作方法，着重刻划人物本身特定的外形特征和内在神韵，获得形神兼备的效果。&lt;BR&gt;,https://img.dpm.org.cn/Uploads/Picture/2017/03/31/s58de18febcc60.jpg,丁姓画师,故宫博物院
绘画,丁皋靳介人画像卷,清,绢,纵36cm，横131.8cm。,人物,本幅左下款署：“丹阳丁皋写。”下钤“丁氏”、“皋印”印2方。卷后有窦光鼐、蒋士铨、顾学翰、蔡廷衡、杨名馨等题十余则。画面表现的是暮春时节，茅亭绿柳，渚清荷新，一士人左手执卷，右手扶膝，正襟危坐于岸边石凳上，身旁石几上置书函、茗盏之属，一小童执扇对炉烹茶。环境清新雅逸，文人雅士闲适的生活情景跃然纸上。从题跋内容分析，画中主人公靳介人为官吏，但具体行状不详，尚待进一步考察。画中人物的表现方法与波臣派风格略有差异，面部平涂较多，皴染不足，故而显得较平，但眉宇间神气盎然，亦为传神之佳作。在波臣派作品中，将人物置于山水之间的肖像画多为合作之画，有喧宾夺主者，有人、景布置不谐者，而此图情景合一，将人融于景物之中，通过环境衬托人物清逸的品质，无疑是一件成功之作。,https://img.dpm.org.cn/Uploads/Picture/2017/04/21/s58f9b240efcbc.jpg,丁皋,故宫博物院
绘画,丁皋康涛汪可舟像册,清,纸,纵21.6cm，横6.4cm。,人物,此册由丁皋绘头像，康涛补画僧服。通过本幅主人公汪氏题可知，此图作于乾隆丙子（二十一年，1756年）初冬日。本幅有江西吉安人范金镛题1则，对开及裱边有汪客吟自题2则。后幅为金农、袁枚、赵之谦等10家题记。图绘汪客吟56岁时半身像，髡发微须，面相庄重，双目有神。整个头像画法精细，用色柔和，渲染有度，极富立体感，当为丁氏肖像画杰作。汪氏对此像极为喜爱，一再品题，并于游历时随身携带，因而得有众多文人雅士题赠于后。,https://img.dpm.org.cn/Uploads/Picture/dc/8929.jpg,丁皋 康涛,故宫博物院
绘画,严绳孙等京口三山图卷,清康熙,纸,纵26.5cm，三段画卷分别横96.2cm、80cm、88.5cm。,山水,此件作品无年款。首段为严绳孙所绘，钤“绳孙”朱方印、“藕渔”白方印。中段为张纯修所绘，钤“见阳”白方印。末段左下角钤“禹之鼎”白文印、“慎斋”朱文印，因此断定此段为禹之鼎所绘。因画幅上有张纯修的收藏印“见阳子珍藏记”、“见阳书画”、“神品”，尾纸有严绳孙题跋：“壬申夏五月似见阳老祖台长兄览正”，推断此图画完后归张纯修收藏。图当绘于壬申年（清康熙三十一年，1692年）或之前，禹之鼎时年46岁。清康熙二十九年（1690年）春，禹之鼎因厌倦官场应酬，身心疲惫，正值当时刑部尚书徐乾学解职回籍，受其之邀，一同南下，游历江南，僦居太湖的洞庭东山，直到康熙三十四年（1695年）才北归京都。这一段时间是他创作较为自由的时间，作品也传达出较为闲适、真挚的情感。此图卷共为三段，分别为严绳孙、张纯修、禹之鼎所作。金山、焦山、北固山世称京口三山，位于镇江。画面以同一视角描绘金山与焦山对峙江中的情景，均为墨笔写意，虽风格各异，但都意在表现江南水乡湿润清秀的特质。严绳孙所绘写意重于写真，墨色干湿浓淡层次分明，清隽雅逸。张纯修所绘则突出江南多雨迷濛的特点，用笔湿润，具有烟岚之气。禹之鼎所绘最为写真，刻画细腻生动，用笔淡雅秀润。图中金山寺寺宇楼台层层相接，一塔拔地而起直指云天，“塔拔山高”，无论近观远眺，总见寺而不见山，有“寺里山”之说。江边，帆影绰绰，人影剪剪。,https://img.dpm.org.cn/Uploads/Picture/2017/04/01/s58defc6cd4133.jpg,严绳孙  张纯修  禹之鼎,故宫博物院
绘画,升仙图 卷,明,绢,24*93cm,人物,,http://file.hbww.org/Thumb300/文章管理缩略图/s_20160301081224yiGnYr.jpg,仇英,湖北省博物馆
绘画,仇英临萧照中兴瑞应图卷,明,绢,纵33cm，横723cm。,人物,本幅款署：“吴郡仇英实父堇摹”，钤“实父”、“十洲”印2方印。此幅为仇英的摹古之作。仇英中年以后，曾先后在大收藏家周凤来和项元汴家客居近20年，得以广泛观摩宋、元名迹，摹古技艺精深。《中兴瑞应图》卷为南宋萧照所作，取宋高宗赵构即位前的种种瑞应传说为内容，根据曹勋辑“瑞应诸事”所写赞文描绘而成，是一幅歌颂赵构重建王朝的作品。原作共12段，曾藏于项元汴家，仇英因此得到观摩机会。此卷临本共4段，用笔粗健，设色精细，图中建筑的比例、形象、风格以及细部都极其忠实于原作，再现了萧照绘画的神髓，可谓“下真迹一等”。也有古建筑研究专家认为仇英的楼阁画只是在临摹宋画时才有出色的表现，而其自己的创作则逊色一筹。萧照（生卒年不详），濩泽（今山西阳城）人。宋画家李唐的弟子，画法酷似其师。绍兴中入画院，善画山水、人物、舟车、屋宇、异松、怪石，画风苍琅古野。周凤来（1523-1555年），昆山人。明代鉴藏家，曾请仇英绘《子虚上林图》长卷作为寿礼庆贺其母八十寿诞，酬谢仇英一千两白银作为润笔。项元汴（1524—1590年），明嘉兴（今浙江省嘉兴）人，字子京，号墨林山人，别号香岩居士、鸳鸯湖长、退密斋主人，收藏家、画家。富藏书画等古名物，在明代私家收藏中堪称巨擘。精鉴赏。常见主要印记有“项元汴印”、“子京”、“檇李项氏世家珍玩”、“神品”等。&lt;br&gt;&lt;br&gt;,https://img.dpm.org.cn/Uploads/tupianyingxiang/仇英临萧照中兴瑞应图卷.jpg,仇英,故宫博物院
